id_unique,id_radical,version,categorie,recto,verso,date_creation
q_001.1,q_001,1,SQL,Comment extraire l'année d'une date ?,"EXTRACT(YEAR FROM ma_date) ou DATE_TRUNC(ma_date , YEAR).",25/03/2026
q_002.1,q_002,1,SQL,Différence entre NULL et chaîne vide '' ?,NULL est l'absence de valeur. '_' est une valeur existante mais vide. NULL ne compte pas !,25/03/2026
q_003.1,q_003,1,SQL,Comment transformer des lignes en colonnes ?,Via un PIVOT ou des CASE WHEN agrégés.,25/03/2026
q_004.1,q_004,1,SQL,Quel est l'ordre d'exécution réel d'une requête SQL ?,"0, CTE 1. FROM/JOIN/UNNEST, 2. WHERE, 3. GROUP BY, 4. HAVING, 5. WINDOW, 6. SELECT, 7. DISTINCT, 8. ORDER BY, 9. LIMIT.",25/03/2026
q_005.1,q_005,1,SQL,Comment dédoublonner avec une Window Function ?,Utilise QUALIFY ROW_NUMBER() OVER(PARTITION BY <...> ORDER BY date DESC) = 1.,25/03/2026
q_006.1,q_006,1,SQL,À quoi sert la fonction COALESCE ?,Elle remplace la première valeur NULL rencontrée par une valeur par défaut choisie.,25/03/2026
q_007.1,q_007,1,SQL,ROW_NUMBER() vs RANK() ?,"ROW_NUMBER() donne un index unique (1,2,3). RANK() donne le même rang en cas d'égalité (1,2,2,4).",25/03/2026
q_008.1,q_008,1,SQL,À quoi servent LAG() et LEAD() ?,"LAG accède à la ligne précédente, LEAD accède à la ligne suivante dans une partition.",25/03/2026
q_009.1,q_009,1,SQL,ROW_NUMBER() vs RANK() vs DENSE_RANK() ?,"ROW_NUMBER : Numérotation continue (1,2,3). RANK : Sauts en cas d'égalité (1,2,2,4). DENSE_RANK : Pas de saut (1,2,2,3).",25/03/2026
q_010.1,q_010,1,SQL,À quoi sert la clause QUALIFY ?,"À filtrer le résultat d'une Window Function directement (ex: QUALIFY ROW_NUMBER() = 1), évitant ainsi une sous-requête.",25/03/2026
q_011.1,q_011,1,SQL,Différence entre WHERE et HAVING ?,WHERE filtre les lignes AVANT l'agrégation. HAVING filtre les groupes APRÈS le GROUP BY.,25/03/2026
q_012.1,q_012,1,SQL,Qu'est-ce que le COALESCE ?,"Une fonction qui retourne la première valeur non nulle d'une liste (ex: COALESCE(tel, email, 'Inconnu')).",25/03/2026
q_013.1,q_013,1,SQL,À quoi servent LAG() et LEAD() ?,"Ce sont des window functions. LAG accède à la ligne précédente. LEAD accède à la ligne suivante. Vital pour calculer des évolutions (%M-1, MoM, YoY).",25/03/2026
q_014.1,q_014,1,SQL,Différence entre INNER JOIN et LEFT JOIN ?,"INNER : Garde uniquement les lignes communes dans les deux tables à la clé de jointure. LEFT : Garde tout de la table de gauche, complète avec des lignes communes avec la table de droite (INNER).",25/03/2026
q_015.1,q_015,1,SQL,Qu'est-ce qu'une CTE (Common Table Expression) ?,"Un bloc de code temporaire défini par WITH, plus lisible qu'une sous-requête imbriquée. Celle-ci s'execute avant la requete final",25/03/2026
q_016.1,q_016,1,SQL,À quoi sert la fonction CAST() ?,"À modifier le type de donnée d'une colonne (ex: transformer une chaîne string '2023-01-01' en type DATE). Ou un FLOAT en INT CAST(6,0 AS INT64)",25/03/2026
q_017.1,q_017,1,SQL,Différence entre COUNT(*) et COUNT(colonne) ?,COUNT(*) compte toutes les lignes. COUNT(colonne) ignore les valeurs NULL de cette colonne.,25/03/2026
q_018.1,q_018,1,SQL,Qu'est-ce qu'un CROSS JOIN ?,Un produit cartésien : chaque ligne de A est associée à chaque ligne de B. Attention à l'explosion du volume !,25/03/2026
q_019.1,q_019,1,SQL,À quoi sert la clause PARTITION BY ?,À définir des groupes de calcul pour une Window Function sans réduire le nombre de lignes (contrairement au GROUP BY).,25/03/2026
q_020.1,q_020,1,SQL,Comment extraire l'année d'une date ?,"EXTRACT(YEAR FROM ma_date) ou DATE_TRUNC('year', ma_date).",25/03/2026
q_021.1,q_021,1,SQL,Différence entre NULL et chaîne vide '' ?,NULL est l'absence de valeur. '' est une valeur existante mais vide. Très important pour les calculs !,25/03/2026
q_022.1,q_022,1,SQL,Comment transformer des lignes en colonnes ?,Via un PIVOT ou des CASE WHEN agrégés.,25/03/2026
q_023.1,q_023,1,SQL,Quelles sont les 3 étapes (ou fonctions) pour parser un champ JSON complexe contenant un tableau d'objets ?,1. JSON_EXTRACT_ARRAY pour isoler le tableau. 2. UNNEST pour éclater le tableau en lignes. 3. JSON_VALUE pour extraire les clés de chaque objet,25/03/2026
q_024.1,q_024,1,SQL,Quelle est la fonction principale pour extraire une valeur simple (String/Int) d'un champ JSON dans BigQuery ?,"JSON_VALUE(champ_json, '$.ma_cle')",25/03/2026
q_025.1,q_025,1,SQL,Structure d'un CASE WHEN ?,CASE WHEN condition THEN result ELSE default END.,25/03/2026
q_026.1,q_026,1,SQL,Cite 3 raisons majeures pour lesquelles le SELECT * est proscrit en production ?,1. Coût (scan de données inutile). 2. Performance (latence réseau/mémoire). 3. Maintenance (fragilité face aux changements de schéma).,25/03/2026
q_027.1,q_027,1,SQL,À quoi sert la clause DISTINCT ?,Supprime les doublons du résultat final pour ne garder que les combinaisons de lignes uniques.,25/03/2026
q_028.1,q_028,1,SQL,Différence entre DATE_TRUNC et DATE_DIFF ?,"TRUNC arrondit une date. DIFF calcule l'écart (en jours, mois, ans) entre deux dates distinctes.",25/03/2026
q_029.1,q_029,1,SQL,Quelle est la différence entre les types INT et FLOAT ?,INT stocke des nombres entiers (ex: 10). FLOAT stocke des nombres à virgule flottante (ex: 10.5).,25/03/2026
q_030.1,q_030,1,SQL,Comment combiner deux chaînes de caractères en une seule ?,"Utilise la fonction CONCAT(str1, str2) ou l'opérateur de concaténation || selon l'entrepôt.",25/03/2026
q_031.1,q_031,1,SQL,En Regex à quoi correspond le % et le _?,% est n'importe quelle caractère de longuer 0+ et _ c'est 1 caractères. Exemple mail '%@%.__%',25/03/2026
q_032.1,q_032,1,SQL,Comment consulter la structure (DDL) d'une table dans BigQuery ?,En interrogeant la vue système : SELECT ddl FROM dataset.INFORMATION_SCHEMA.TABLES WHERE table_name = '...';,25/03/2026
q_033.1,q_033,1,SQL,À quoi sert la fonction COUNT(*) ?,"Compte le nombre total de lignes dans une table ou un groupe, incluant les lignes avec des valeurs NULL.",25/03/2026
q_034.1,q_034,1,SQL,Comment trouver la valeur la plus élevée d'une colonne ?,Utilise la fonction d'agrégation MAX(nom_colonne).,25/03/2026
q_035.1,q_035,1,SQL,À quoi sert l'opérateur IN ?,"Filtre les lignes dont la valeur correspond à un élément présent dans une liste spécifiée (ex: IN ('A', 'B')). Une sorte de 'AND'",25/03/2026
q_036.1,q_036,1,SQL,Pourquoi utilise-t-on le mot-clé AS ?,"Pour créer un alias, renommant temporairement une colonne ou une table pour rendre le code plus lisible.",25/03/2026
q_037.1,q_037,1,SQL,Que fait SELECT * EXCEPT(col_a) ?,Sélectionne toutes les colonnes de la table à l'exception de celle(s) précisée(s) entre parenthèses.,25/03/2026
q_038.1,q_038,1,SQL,Comment filtrer une plage de valeurs (ex: entre 10 et 20 INCLUS) ?,Utilise la clause WHERE colonne BETWEEN 10 AND 20.,25/03/2026
q_039.1,q_039,1,SQL,Comment exclure les valeurs manquantes d'un résultat ?,Utilise la condition WHERE colonne IS NOT NULL.,25/03/2026
q_040.1,q_040,1,SQL,À quoi sert la fonction ROUND() ?,"À arrondir un nombre à un certain nombre de décimales. Exemple : ROUND(prix, 2).",25/03/2026
q_041.1,q_041,1,SQL,Comment trier les résultats par ordre décroissant ?,Utilise la clause ORDER BY nom_colonne DESC.,25/03/2026
q_042.1,q_042,1,SQL,Structure de base d'une Window Function ?,FONCTION() OVER(PARTITION BY col_a ORDER BY col_b).,25/03/2026
q_043.1,q_043,1,SQL,Comment numéroter les lignes au sein d'un groupe ?,Utilise ROW_NUMBER() OVER(PARTITION BY groupe ORDER BY date DESC).,25/03/2026
q_044.1,q_044,1,SQL,Quelle est l'utilité de CURRENT_DATE ?,Retourne la date actuelle du système lors de l'exécution de la requête. La zone UTC peut être préciser en argument,25/03/2026
q_045.1,q_045,1,SQL,Différence entre CREATE TABLE et CREATE VIEW ?,TABLE stocke les données physiquement (coût stockage). VIEW est une requête enregistrée calculée à la demande.,25/03/2026
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
q_051.1,q_051,1,dbt,À quoi sert la fonction {{ ref() }} ?,1. Crée les dépendances dans le DAG. 2. Gère automatiquement la portabilité (bascule entre dev et prod) avec la configuration de profiles.yml.,25/03/2026
q_052.1,q_052,1,dbt,Quelle est la différence entre ref() et source() ?,ref() pointe vers un modèle dbt. source() pointe vers une table brute externe définie dans un fichier nommé source.yml en YAML.,25/03/2026
q_053.1,q_053,1,dbt,Qu'est-ce que le DAG ?,Directed Acyclic Graph. C'est le graphe qui ordonne l'exécution de tes modèles sans boucles infinies.,25/03/2026
q_054.1,q_054,1,dbt,Pour quel type de données l'usage des Seeds est-il recommandé ?,"Pour des données statiques ou qui changent très rarement (ex: codes pays, liste des départements, catégories de produits fixes). Format CSV.",25/03/2026
q_055.1,q_055,1,dbt,Cite 3 raisons de ne pas utiliser les Seeds pour des données volumineuses ou sensibles,Parce que les seeds sont visibles dans les git : 1. Sécurité (exposition des données perso PII). 2. Performance (lenteur des commandes Git en CI). 3. Scalabilité (Git n'est pas un outil de stockage de base de données).,25/03/2026
q_056.1,q_056,1,dbt,Comment définit-on la matérialisation d'un modèle dbt directement dans son fichier .sql ?,Via le bloc de configuration : {{ config(materialized='table') }} (ou 'view') directement dans le modèle ou dans le projet.yml pour definir la config par défaut suivant les dossiers models.,25/03/2026
q_057.1,q_057,1,dbt,Quelles sont les 4 valeurs principales que peut prendre l'argument materialized dans un bloc config() ?,"view (par défaut), table, incremental et ephemeral.",25/03/2026
q_058.1,q_058,1,dbt,Qu'est-ce qu'un modèle 'Incremental' ?,Un modèle qui n'ajoute que les nouvelles données depuis le dernier run au lieu de reconstruire toute la table. Vital pour les gros volumes.,25/03/2026
q_059.1,q_059,1,dbt,Qu'est-ce qu'un modèle 'Ephemeral' ?,Un modèle qui s'insère comme une CTE. Il permet de 'nettoyer' l'entrepôt en masquant les étapes de calcul intermédiaires qui n'ont pas d'intérêt pour les utilisateurs finaux.,25/03/2026
q_060.1,q_060,1,dbt,Comment définir une clé primaire unique dans dbt ?,Via un test 'unique' dans le .yml (souvent schema.yml) ou via une surrogate key (hachage).,25/03/2026
q_061.1,q_061,1,dbt,Qu'est-ce qu'un SNAPSHOT ?,Un outil pour historiser les changements (SCD Type 2) sur une table source (ex: suivi du statut d'une commande).,25/03/2026
q_062.1,q_062,1,dbt,Quelles sont les deux stratégies possibles pour détecter un changement dans un Snapshot ?,1. timestamp (utilise une colonne de date de mise à jour). 2. check (compare une liste de colonnes spécifiques),25/03/2026
q_063.1,q_063,1,dbt,À quoi sert le dossier macros/ ?,À stocker des fonctions Jinja réutilisables pour automatiser le SQL.,25/03/2026
q_064.1,q_064,1,dbt,"Comment installer un package externe (ex: dbt_utils, codegen) ?",1. Lister dans packages.yml. packages: - package: dbt-labs/dbt_utils version: 0.7.12.  2. Lancer la commande 'dbt deps'.,25/03/2026
q_065.1,q_065,1,dbt,Différence entre 'dbt run' et 'dbt build' ?,run : exécute seulement les modèles. build : exécute les modèles + les tests + les snapshots + les seeds.,25/03/2026
q_066.1,q_066,1,dbt,Qu'est-ce que le fichier manifest.json ?,"C'est un fichier généré automatiquement qui contient la description complète de l'architecture, des nœuds, son état et des dépendances du projet. Situé dans le dossier target.",25/03/2026
q_067.1,q_067,1,dbt,Comment tester la fraîcheur d'une source ?, Via la configuration 'freshness' dans le YAML de la source (warn_after / error_after). Puis lancer dbt source freshness,25/03/2026
q_068.1,q_068,1,dbt,À quoi sert principalement la variable 'target' ?,"À identifier l'environnement de destination (dev, prod, qa) via le fichier profiles.yml pour adapter la connexion et le comportement de dbt.",25/03/2026
q_069.1,q_069,1,dbt,Quelles sont les 4 couches classiques d'un projet dbt ?,"1. Sources (Brut), 2. Staging (Nettoyage), 3. Intermediate (Logique complexe), 4. Marts (Business).",25/03/2026
q_070.1,q_070,1,dbt,Quelle est la différence entre ref() et source() ?,Ref() lie deux modèles dbt (crée le DAG). Source() lie dbt à une table brute externe.,25/03/2026
q_071.1,q_071,1,dbt,À quoi sert le tiret dans {%- ou -%}?,C'est le 'whitespace control' : il supprime les espaces et sauts de ligne inutiles dans le SQL compilé.,25/03/2026
q_072.1,q_072,1,dbt,Qu'est-ce que le 'Source Freshness' ?,Un test qui vérifie si les données sources ont été mises à jour récemment (ex: < 24h).,25/03/2026
q_073.1,q_073,1,dbt,Quels sont les 4 tests génériques de dbt ?,"Unique, Not_null, Accepted_values, Relationships.",25/03/2026
q_074.1,q_074,1,dbt,À quoi sert le tiret dans {%- ou -%} ?,C'est le 'whitespace control' : il supprime les espaces et sauts de ligne inutiles dans le SQL compilé.,25/03/2026
q_075.1,q_075,1,dbt,Quelle commande permet de savoir si les données sources ingérées sont récentes?,dbt source freshness.,25/03/2026
q_076.1,q_076,1,dbt,À quoi sert le tiret dans {%- ... -%} ?,C'est le 'whitespace control' : il supprime les espaces et sauts de ligne inutiles dans le SQL final. Il facile donc la lecture du SQL compilé.,25/03/2026
q_077.1,q_077,1,dbt,Comment créer une variable Jinja locale ?,Utilise {% set ma_var = 'valeur' %}.,25/03/2026
q_078.1,q_078,1,dbt,Comment appeler en Jinja une variable globale définie dans dbt_project.yml ?,Via la fonction {{ var(''nom_de_la_variable') }}.,25/03/2026
q_079.1,q_079,1,dbt,Qu'est-ce que l'objet 'loop' dans une boucle for Jinja ?,"Un objet contenant des infos sur l'itération (loop.first, loop.last, loop.index).",25/03/2026
q_080.1,q_080,1,dbt,Quel bloc Jinja spécifique doit-on ajouter dans un modèle incremental pour filtrer les données déjà existantes ?,Le bloc {% if is_incremental() %}. Il permet de n'ajouter que les lignes dont la date est supérieure à la date max déjà présente en table.,25/03/2026
q_081.1,q_081,1,dbt,Comment écrire un commentaire visible uniquement par Jinja ?,Utilise la syntaxe {# mon commentaire #}.,25/03/2026
q_082.1,q_082,1,dbt,Qu'est-ce qu'une 'Surrogate Key' (clé de substitution)  ?,C'est une clé unique générée artificiellement (souvent par hachage MD5) pour identifier une ligne quand aucune colonne seul ne le permet (granularité à plusieurs colonnes).,25/03/2026
q_083.1,q_083,1,dbt,Comment documenter un modèle ?,Via la propriété 'description' dans un fichier .yml ou via des blocs de doc .md externes. Puis lancer dbt docs generate.,25/03/2026
q_084.1,q_084,1,dbt,Où doit-on rédiger la documentation des modèles pour qu'elle reste proche du code SQL ? ," Dans les fichiers .yml (souvent schema.yml), idéalement situés dans le même dossier que les modèles SQL concernés.",25/03/2026
q_085.1,q_085,1,dbt,Règle d'or du Staging ?,"Une table de staging par table source. Pas de jointures complexes ici, juste du nettoyage technique.",25/03/2026
q_086.1,q_086,1,dbt,Quelle commande permet de ne lancer que les modèles modifiés ?,dbt run --select state:modified (nécessite un fichier manifest.json).,25/03/2026
q_087.1,q_087,1,dbt,Quelle est la différence de syntaxe entre afficher une variable et exécuter une instruction (ex: set) ? ,Expression (Afficher) : {{ ma_variable }} // Instruction (Action) : {% set x = 1 %} ou {% for ... %},25/03/2026
q_088.1,q_088,1,dbt,Qu'est-ce que l'ADLC dans l'écosystème dbt et à quoi correspond-il techniquement ? ,Analytics Development Life Cycle. C'est l'équivalent du CI/CD pour la data : Développement  // Test & Revue (CI). // Déploiement & Monitoring (CD).,25/03/2026
q_089.1,q_089,1,dbt,Quels sont les rôles respectifs des fichiers dbt_project.yml et profiles.yml ?  ,"dbt_project.yml : Configuration globale du projet (nom, chemins, modèles). // profiles.yml : Informations de connexion au Data Warehouse (target, database, user, pass). Sert de pont entre dbt et la DB.",25/03/2026
q_090.1,q_090,1,dbt,Quelle est la différence entre un fichier sources.yml et un fichier schema.yml ?  ,Sources : Définit les tables de données brutes externes (Input). // Schema : Utilisé pour documenter (description: ) et lister les tests les modèles créés (Output).,25/03/2026
q_091.1,q_091,1,dbt,Quelle est la différence entre un Generic Test et un Singular Test ?  ,"Generic : Test réutilisable défini dans le YAML (ex: unique, not_null). // Singular : Une requête SQL personnalisée dans le dossier tests/ qui échoue si elle renvoie des lignes.",25/03/2026
q_092.1,q_092,1,dbt,"Dans une boucle {% for %}, à quoi servent loop.index et loop.index0 ?","Ce sont des compteurs d'itération : index commence à 1, tandis que index0 commence à 0.",25/03/2026
q_093.1,q_093,1,dbt,Quelle est la structure complète d'un bloc if en Jinja ? ,{% if condition %}  -- code si vrai{% else %}  -- code si faux {% endif %},25/03/2026
q_094.1,q_094,1,dbt,Quelle est la syntaxe pour définir une liste de fruits en Jinja et afficher le premier élément ?,"Définition : {% set fruits = ['pomme', 'banane'] %}. Appel : {{ fruits[0] }}.",25/03/2026
q_095.1,q_095,1,dbt,"Dans le dictionnaire {% set order = {'status' : 'send', 'date' : '2023'} %} comment accède-t-on à la valeur d'une clé 'status' ?","Soit par la notation pointée {{ order.status }}, soit par l'indexation {{ order['status'] }}.",25/03/2026
q_096.1,q_096,1,dbt,Quelle est la structure de base d'une boucle for pour parcourir une liste ou une plage de nombres ? ,{% for element in liste %}  {{ element }} {% endfor %} --(Pour une plage : {% for i in range(10) %}),25/03/2026
q_097.1,q_097,1,dbt,Écris la structure de base d'une macro nommée cents_to_dollars,{% macro cents_to_dollars(column_name) %} ({{ column_name }} / 100) {% endmacro %},25/03/2026
